"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,,,,,,,,,,
SUPERINTENDÊNCIA DE DEFESA DA CONCORRÊNCIA,,,,,,,,,,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,,,,,,,,,,
INTERVALO DE TEMPO: SEMANAL,,,,,,,,,,,,,,
PERÍODO: 18/05/2025 A 24/05/2025,,,,,,,,,,,,,,
COMBUSTÍVEL: TODOS,,,,,,,,,,,,,,
TIPO RELATÓRIO: MUNICÍPIO,,,,,,,,,,,,,,
CNPJ,RAZÃO,FANTASIA,ENDEREÇO,NÚMERO,COMPLEMENTO,BAIRRO,CEP,MUNICÍPIO,ESTADO,BANDEIRA,PRODUTO,UNIDADE DE MEDIDA,PREÇO DE REVENDA,DATA DA COLETA
 8220930.000.162/1   -  ,CODEPE COMBUSTIVEIS LTDA,CODEPE,RODOVIA BR-364 (RIO BRANCO-CRUZEIRO DO SUL) - ATE 2,2755,LOTE  01/02/03/04/05 E 33,PORTAL DA AMAZONIA,69915-630,RIO BRANCO,ACRE,VIBRA,DIESEL S500,R$ / litro,7.59,5/21/25
 8220930.000.162/1   -  ,CODEPE COMBUSTIVEIS LTDA,CODEPE,RODOVIA BR-364 (RIO BRANCO-CRUZEIRO DO SUL) - ATE 2,2755,LOTE  01/02/03/04/05 E 33,PORTAL DA AMAZONIA,69915-630,RIO BRANCO,ACRE,VIBRA,DIESEL S10,R$ / litro,7.69,5/21/25
 8220930.000.162/1   -  ,CODEPE COMBUSTIVEIS LTDA,CODEPE,RODOVIA BR-364 (RIO BRANCO-CRUZEIRO DO SUL) - ATE 2,2755,LOTE  01/02/03/04/05 E 33,PORTAL DA AMAZONIA,69915-630,RIO BRANCO,ACRE,VIBRA,ETANOL,R$ / litro,5.39,5/21/25
 4594586.000.110/1   -  ,AUTO POSTO ISAURAO LTDA,,RUA ISAURA PARENTE,1412,,ESTACAO EXPERIMENTAL,69918-216,RIO BRANCO,ACRE,AMAZONGÁS,GLP,R$ / 13 kg,108.00,5/22/25
 6003183.000.185/1   -  ,AUTO POSTO CASTANHEIRA LTDA.,AUTO POSTO CASTANHEIRA,ESTRADA DA FLORESTA,S/N,,FLORESTA,69906-380,RIO BRANCO,ACRE,FOGAS,GLP,R$ / 13 kg,127.00,5/21/25
 6003183.000.185/1   -  ,AUTO POSTO CASTANHEIRA LTDA.,AUTO POSTO CASTANHEIRA,ESTRADA DA FLORESTA,S/N,,FLORESTA,69906-380,RIO BRANCO,ACRE,EQUADOR,GASOLINA COMUM,R$ / litro,7.64,5/21/25
 6003183.000.185/1   -  ,AUTO POSTO CASTANHEIRA LTDA.,AUTO POSTO CASTANHEIRA,ESTRADA DA FLORESTA,S/N,,FLORESTA,69906-380,RIO BRANCO,ACRE,EQUADOR,GASOLINA ADITIVADA,R$ / litro,7.69,5/21/25
 6003183.000.185/1   -  ,AUTO POSTO CASTANHEIRA LTDA.,AUTO POSTO CASTANHEIRA,ESTRADA DA FLORESTA,S/N,,FLORESTA,69906-380,RIO BRANCO,ACRE,EQUADOR,DIESEL S500,R$ / litro,7.79,5/21/25
 6003183.000.185/1   -  ,AUTO POSTO CASTANHEIRA LTDA.,AUTO POSTO CASTANHEIRA,ESTRADA DA FLORESTA,S/N,,FLORESTA,69906-380,RIO BRANCO,ACRE,EQUADOR,DIESEL S10,R$ / litro,7.84,5/21/25
 6003183.000.185/1   -  ,AUTO POSTO CASTANHEIRA LTDA.,AUTO POSTO CASTANHEIRA,ESTRADA DA FLORESTA,S/N,,FLORESTA,69906-380,RIO BRANCO,ACRE,EQUADOR,ETANOL,R$ / litro,5.49,5/21/25
 529581.000.153/1   -  ,AUTO POSTO AMAPA - EIRELI,POSTO AMAPÁ,VIA CHICO MENDES,3570,,AREAL,69906-119,RIO BRANCO,ACRE,VIBRA,GASOLINA COMUM,R$ / litro,7.69,5/22/25
 529581.000.153/1   -  ,AUTO POSTO AMAPA - EIRELI,POSTO AMAPÁ,VIA CHICO MENDES,3570,,AREAL,69906-119,RIO BRANCO,ACRE,VIBRA,GASOLINA ADITIVADA,R$ / litro,7.69,5/22/25
 529581.000.153/1   -  ,AUTO POSTO AMAPA - EIRELI,POSTO AMAPÁ,VIA CHICO MENDES,3570,,AREAL,69906-119,RIO BRANCO,ACRE,VIBRA,DIESEL S500,R$ / litro,7.65,5/22/25
 529581.000.153/1   -  ,AUTO POSTO AMAPA - EIRELI,POSTO AMAPÁ,VIA CHICO MENDES,3570,,AREAL,69906-119,RIO BRANCO,ACRE,VIBRA,ETANOL,R$ / litro,5.34,5/22/25
 6906483.000.174/1   -  ,POSTO VILLAGE LTDA.,POSTO VILLAGE,RUA ANTONIO DA ROCHA VIANA,S/N,CONJ. VILLAGE W. MARCIEL QD. 02 LOTES 01 A 04,VILA IVONETE,69914-610,RIO BRANCO,ACRE,FOGAS,GLP,R$ / 13 kg,120.00,5/22/25
 6321359.000.147/1   -  ,AUTO POSTO CIDADE LTDA,AUTO POSTO ALE V,AVENIDA NACOES UNIDAS,2123,,7 BEC,69918-093,RIO BRANCO,ACRE,FOGAS,GLP,R$ / 13 kg,118.00,5/21/25
 6321359.000.147/1   -  ,AUTO POSTO CIDADE LTDA,AUTO POSTO ALE V,AVENIDA NACOES UNIDAS,2123,,7 BEC,69918-093,RIO BRANCO,ACRE,VIBRA,GASOLINA COMUM,R$ / litro,7.60,5/21/25
 6321359.000.147/1   -  ,AUTO POSTO CIDADE LTDA,AUTO POSTO ALE V,AVENIDA NACOES UNIDAS,2123,,7 BEC,69918-093,RIO BRANCO,ACRE,VIBRA,DIESEL S500,R$ / litro,7.50,5/21/25
 6321359.000.147/1   -  ,AUTO POSTO CIDADE LTDA,AUTO POSTO ALE V,AVENIDA NACOES UNIDAS,2123,,7 BEC,69918-093,RIO BRANCO,ACRE,VIBRA,DIESEL S10,R$ / litro,7.55,5/21/25
 6321359.000.147/1   -  ,AUTO POSTO CIDADE LTDA,AUTO POSTO ALE V,AVENIDA NACOES UNIDAS,2123,,7 BEC,69918-093,RIO BRANCO,ACRE,VIBRA,ETANOL,R$ / litro,5.29,5/21/25
 524999.000.178/1   -  ,AUTO POSTO ACAUAN LTDA,AUTO POSTO ACAUAN,RODOVIA AC 40,1800,,VILA ACRE,69902-450,RIO BRANCO,ACRE,VIBRA,GASOLINA COMUM,R$ / litro,7.69,5/22/25
 524999.000.178/1   -  ,AUTO POSTO ACAUAN LTDA,AUTO POSTO ACAUAN,RODOVIA AC 40,1800,,VILA ACRE,69902-450,RIO BRANCO,ACRE,VIBRA,GASOLINA ADITIVADA,R$ / litro,7.69,5/22/25
 524999.000.178/1   -  ,AUTO POSTO ACAUAN LTDA,AUTO POSTO ACAUAN,RODOVIA AC 40,1800,,VILA ACRE,69902-450,RIO BRANCO,ACRE,VIBRA,DIESEL S500,R$ / litro,7.65,5/22/25
 524999.000.178/1   -  ,AUTO POSTO ACAUAN LTDA,AUTO POSTO ACAUAN,RODOVIA AC 40,1800,,VILA ACRE,69902-450,RIO BRANCO,ACRE,VIBRA,DIESEL S10,R$ / litro,7.69,5/22/25
 524999.000.178/1   -  ,AUTO POSTO ACAUAN LTDA,AUTO POSTO ACAUAN,RODOVIA AC 40,1800,,VILA ACRE,69902-450,RIO BRANCO,ACRE,VIBRA,ETANOL,R$ / litro,5.34,5/22/25
 1198443.000.282/1   -  ,COMDEPE COMERCIO DE DERIVADOS DE PETROLEO LTDA,POSTO AVIARIO,ESTRADA JARBAS PASSARINHO,115,,PLACAS,69900-970,RIO BRANCO,ACRE,FOGAS,GLP,R$ / 13 kg,128.00,5/22/25
 4087649.000.142/1   -  ,AUTO POSTO DISTRITO LTDA.,,RUA 03,S/N,LOTE:08 ZONA:A  ST:4,DISTRITO INDUSTRIAL,69917-100,RIO BRANCO,ACRE,FOGAS,GLP,R$ / 13 kg,122.00,5/21/25
 4087649.000.142/1   -  ,AUTO POSTO DISTRITO LTDA.,,RUA 03,S/N,LOTE:08 ZONA:A  ST:4,DISTRITO INDUSTRIAL,69917-100,RIO BRANCO,ACRE,VIBRA,GASOLINA COMUM,R$ / litro,7.64,5/21/25
 4087649.000.142/1   -  ,AUTO POSTO DISTRITO LTDA.,,RUA 03,S/N,LOTE:08 ZONA:A  ST:4,DISTRITO INDUSTRIAL,69917-100,RIO BRANCO,ACRE,VIBRA,GASOLINA ADITIVADA,R$ / litro,7.64,5/21/25
